City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,Santa Ines,-3.6667,-45.38,76.84,87,98,1.25,BR,2023-01-13 21:36:35
193,Arlit,18.7369,7.3853,63.18,21,4,6.29,NE,2023-01-13 21:36:36
194,Chuy,-33.6971,-53.4616,70.92,74,100,6.15,UY,2023-01-13 21:36:36
195,Tasiilaq,65.6145,-37.6368,17.76,65,100,11.18,GL,2023-01-13 21:36:37
196,East London,-33.0153,27.9116,72.28,80,86,4.34,ZA,2023-01-13 21:34:42
197,Okha,53.5739,142.9478,-19.68,83,12,17.31,RU,2023-01-13 21:36:37
198,Amapa,1.0,-52.0,73.2,99,92,3.04,BR,2023-01-13 21:34:17
199,Key West,24.5557,-81.7826,73.0,82,75,19.57,US,2023-01-13 21:35:25
200,Riohacha,11.5444,-72.9072,84.31,74,20,11.5,CO,2023-01-13 21:36:38
201,Mar Del Plata,-38.0023,-57.5575,70.83,70,40,10.0,AR,2023-01-13 21:33:52
202,Koumac,-20.5667,164.2833,80.98,68,6,4.5,NC,2023-01-13 21:36:39
203,Kavieng,-2.5744,150.7967,82.49,75,95,7.9,PG,2023-01-13 21:36:39
204,Alofi,-19.0595,-169.9187,80.49,74,75,8.05,NU,2023-01-13 21:36:39
205,Cockburn Town,21.4612,-71.1419,76.96,78,75,13.8,TC,2023-01-13 21:36:40
206,Kawalu,-7.3817,108.2082,70.02,88,70,2.28,ID,2023-01-13 21:36:40
207,Havoysund,70.9963,24.6622,37.63,77,32,23.49,NO,2023-01-13 21:36:41
208,Paramonga,-10.6667,-77.8333,72.25,73,37,10.51,PE,2023-01-13 21:36:41
209,Anaco,9.4389,-64.4728,84.33,47,93,2.37,VE,2023-01-13 21:36:41
210,Cap-Aux-Meules,47.3821,-61.8597,39.25,100,100,25.32,CA,2023-01-13 21:34:06
211,Upata,8.0086,-62.3989,76.19,83,54,4.12,VE,2023-01-13 21:36:42
212,Guerrero,17.6667,-100.0,79.27,32,16,5.19,MX,2023-01-13 21:36:42
213,Port Hardy,50.6996,-127.4199,50.18,93,75,16.11,CA,2023-01-13 21:36:43
214,Nhulunbuy,-12.2333,136.7667,81.21,89,40,1.14,AU,2023-01-13 21:36:43
215,Ilulissat,69.2167,-51.1,6.82,51,75,19.57,GL,2023-01-13 21:36:44
216,Tumut,-35.3,148.2167,78.94,43,7,4.63,AU,2023-01-13 21:36:44
217,Ndjole,-0.1783,10.7649,77.02,90,90,2.55,GA,2023-01-13 21:36:44
218,Bida,9.0833,6.0167,80.28,18,66,4.47,NG,2023-01-13 21:36:45
219,Machilipatnam,16.1667,81.1333,69.22,76,82,2.42,IN,2023-01-13 21:36:45
220,Waingapu,-9.6567,120.2641,78.06,82,100,4.68,ID,2023-01-13 21:36:46
221,Bartica,6.4,-58.6167,82.72,89,100,4.23,GY,2023-01-13 21:36:46
222,Northam,51.0333,-4.2167,48.25,93,100,19.08,GB,2023-01-13 21:36:46
223,New Plymouth,-39.0667,174.0833,62.31,62,1,2.24,NZ,2023-01-13 21:32:35
224,Gushikawa,26.3544,127.8686,69.39,83,0,5.75,JP,2023-01-13 21:36:47
225,Sehwan,26.4279,67.863,47.52,11,4,5.12,PK,2023-01-13 21:36:47
226,Westport,41.1415,-73.3579,51.57,77,100,12.66,US,2023-01-13 21:34:41
227,Katsuura,35.1333,140.3,59.02,88,66,23.62,JP,2023-01-13 21:36:48
228,Santiago Del Estero,-27.7951,-64.2615,87.67,23,0,5.97,AR,2023-01-13 21:36:48
229,Longyearbyen,78.2186,15.6401,30.04,80,75,25.32,SJ,2023-01-13 21:36:49
230,Bairiki,1.3292,172.9752,84.2,74,40,14.97,KI,2023-01-13 21:36:49
231,Shirokiy,49.758,129.523,-27.13,89,3,8.01,RU,2023-01-13 21:37:49
232,Half Moon Bay,37.4636,-122.4286,59.59,93,100,12.66,US,2023-01-13 21:37:50
233,Atar,20.5169,-13.0499,70.11,20,0,8.23,MR,2023-01-13 21:37:50
234,Neiafu,-18.65,-173.9833,81.28,89,40,2.3,TO,2023-01-13 21:37:51
235,Akureyri,65.6835,-18.0878,17.53,86,75,4.61,IS,2023-01-13 21:37:51
236,Kloulklubed,7.0419,134.2556,73.9,75,69,10.89,PW,2023-01-13 21:37:51
237,Sorgun,39.8101,35.186,32.63,43,74,2.44,TR,2023-01-13 21:37:52
238,Iqaluit,63.7506,-68.5145,-20.47,69,20,13.8,CA,2023-01-13 21:35:55
239,Hobyo,5.3505,48.5268,76.87,74,96,20.33,SO,2023-01-13 21:37:52
240,Hami,42.8,93.45,6.31,70,1,1.88,CN,2023-01-13 21:37:53
241,Dwarka,22.2394,68.9678,65.05,46,5,13.2,IN,2023-01-13 21:37:53
242,Clyde River,70.4692,-68.5914,-14.57,64,75,4.61,CA,2023-01-13 21:37:53
243,Namatanai,-3.6667,152.4333,80.44,79,100,4.12,PG,2023-01-13 21:37:54
244,Dukat,62.55,155.55,-27.13,95,100,5.01,RU,2023-01-13 21:37:55
245,Waipawa,-41.4122,175.5153,59.68,72,85,6.64,NZ,2023-01-13 21:37:55
246,Arkhangelsk,64.5401,40.5433,28.51,93,100,6.71,RU,2023-01-13 21:37:56
247,Chesterton,41.6106,-87.0642,32.58,84,100,10.36,US,2023-01-13 21:35:10
248,Kapuskasing,49.4169,-82.4331,3.29,71,20,5.75,CA,2023-01-13 21:37:56
249,Lagoa,39.05,-27.9833,62.11,84,100,30.06,PT,2023-01-13 21:37:57
250,San Carlos De Bariloche,-41.1456,-71.3082,74.95,22,0,25.32,AR,2023-01-13 21:37:57
251,Slave Lake,55.2834,-114.769,13.98,79,75,6.51,CA,2023-01-13 21:37:57
252,Kaitangata,-46.2817,169.8464,61.99,61,42,4.97,NZ,2023-01-13 21:37:58
253,Sorocaba,-23.5017,-47.4581,71.64,90,83,5.82,BR,2023-01-13 21:37:58
254,Cayenne,4.9333,-52.3333,78.84,83,40,4.61,GF,2023-01-13 21:37:59
255,Rio Claro,-22.4114,-47.5614,71.74,89,94,5.08,BR,2023-01-13 21:37:59
256,Teya,60.3778,92.6267,-10.43,100,100,2.77,RU,2023-01-13 21:37:59
257,Shumskiy,54.8318,99.1328,7.63,76,100,8.88,RU,2023-01-13 21:38:00
258,Palu,-0.8917,119.8707,73.92,86,98,2.3,ID,2023-01-13 21:38:00
259,Maniitsoq,65.4167,-52.9,12.81,77,100,17.02,GL,2023-01-13 21:38:01
260,Bengkulu,-3.8004,102.2655,74.08,91,93,3.29,ID,2023-01-13 21:37:45
261,Leningradskiy,69.3833,178.4167,-7.2,98,96,5.28,RU,2023-01-13 21:38:01
262,Pochutla,15.7432,-96.4661,85.82,53,0,8.43,MX,2023-01-13 21:38:01
263,Quatre Cocos,-20.2078,57.7625,77.11,71,58,12.06,MU,2023-01-13 21:38:02
264,Puerto Colombia,10.9878,-74.9547,84.29,83,46,17.67,CO,2023-01-13 21:38:02
265,Yar-Sale,66.8333,70.8333,-9.99,100,96,5.39,RU,2023-01-13 21:38:03
266,Bonthe,7.5264,-12.505,78.03,80,45,7.14,SL,2023-01-13 21:38:03
