City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Pangnirtung,CA,66.1451,-65.7125,-12.41,73,100,3.15,overcast clouds
132,Dunedin,NZ,-45.8742,170.5036,61.81,73,76,3.0,broken clouds
133,Hasaki,JP,35.7333,140.8333,41.29,78,90,10.92,overcast clouds
134,Nuuk,GL,64.1835,-51.7216,12.81,85,75,20.71,light snow
135,Hervey Bay,AU,-25.2986,152.8535,77.02,68,15,19.57,few clouds
136,Maragogi,BR,-9.0122,-35.2225,78.42,80,100,9.75,light rain
137,Varnavino,RU,57.4035,45.0916,22.69,93,100,10.65,overcast clouds
138,Hambantota,LK,6.1241,81.1185,74.64,80,71,14.52,moderate rain
139,San Patricio,US,28.017,-97.5169,75.29,74,84,12.91,broken clouds
140,Kodiak,US,57.79,-152.4072,35.11,75,75,6.91,broken clouds
141,Tiksi,RU,71.6872,128.8694,-19.77,100,100,6.73,overcast clouds
142,Udayagiri,IN,20.1333,84.3833,59.67,92,43,1.07,scattered clouds
143,Oranjestad,AW,12.524,-70.027,78.91,86,1,3.0,clear sky
144,Qinzhou,CN,21.95,108.6167,48.13,58,100,12.55,overcast clouds
145,Aklavik,CA,68.2191,-135.0107,-24.59,100,93,2.06,overcast clouds
146,Gizo,SB,-8.103,156.8419,83.44,76,100,13.78,light rain
147,Terrace Bay,CA,48.7834,-87.1,23.29,86,100,18.61,light snow
148,Touros,BR,-5.1989,-35.4608,78.35,81,82,12.48,light rain
149,Mokhotlong,LS,-29.2894,29.0675,56.62,48,98,1.03,overcast clouds
150,Madzhalis,RU,42.1217,47.8333,34.21,70,31,3.85,scattered clouds
151,Shenzhen,CN,22.5455,114.0683,57.15,69,100,8.97,overcast clouds
152,Rantepao,ID,-2.9701,119.8978,72.3,86,97,0.63,light rain
153,Tarakan,ID,3.3,117.6333,78.3,94,75,2.3,broken clouds
154,Muisne,EC,0.6,-80.0333,76.32,82,55,8.68,broken clouds
155,Priiskovyy,RU,51.9333,116.6333,-7.67,100,100,1.01,overcast clouds
156,Bure,ET,10.7,37.0667,55.72,68,26,4.47,scattered clouds
157,Hirado,JP,33.3597,129.5531,41.4,59,62,11.3,broken clouds
